"product","total_quantity_sold","total_orders","profit_margin","turnover_ratio"
"Memorex Mini Travel Drive 4 GB USB 2.0 Flash Drive","2","1","0.26250000000000000000","2"
"Micro Innovations Wireless Classic Keyboard with Mouse","4","2","0.08888888888888888889","2"
"Multimedia Mailers","2","1","0.46000000000000000000","2"
"NeatDesk Desktop Scanner & Digital Filing System","2","1","0.11666666666666666667","2"
"Newell 337","4","2","0.11250000000000000000","2"
"SAFCO Folding Chair Trolley","6","3","0.21454545454545454545","2"
"Avery 482","4","2","0.47000000000000000000","2"
"Rush Hierlooms Collection Rich Wood Bookcases","4","2","-0.14473684210526315789","2"
"RCA ViSYS 25423RE1 Corded phone","2","1","0.08750000000000000000","2"
"Panasonic KX T7736-B Digital phone","10","5","0.10714285714285714286","2"
"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box","21","10","0.44848484848484848485","2.1"
"Quartet Omega Colored Chalk, 12/Pack","15","7","0.42391304347826086957","2.142857142857143"
"Dana Swing-Arm Lamps","15","7","-0.10294117647058823529","2.142857142857143"
"Plantronics MX500i Earset","15","7","-0.01041666666666666667","2.142857142857143"
"Flexible Leather- Look Classic Collection Ring Binder","13","6","0.13333333333333333333","2.1666666666666665"
"Xerox 1942","13","6","0.46721311475409836066","2.1666666666666665"
"DAX Two-Tone Silver Metal Document Frame","13","6","0.36120689655172413793","2.1666666666666665"
"Boston Home & Office Model 2000 Electric Pencil Sharpeners","13","6","0.23650793650793650794","2.1666666666666665"
"Akro Stacking Bins","13","6","-0.07586206896551724138","2.1666666666666665"
"G.E. Halogen Desk Lamp Bulbs","11","5","0.36444444444444444444","2.2"
"Cyber Acoustics AC-202b Speech Recognition Stereo Headset","11","5","-0.17173913043478260870","2.2"
"Newell 346","11","5","0.27685185185185185185","2.2"
"Acme Value Line Scissors","22","10","0.26666666666666666667","2.2"
"Safco Commercial Shelving","11","5","-0.01538461538461538462","2.2"
"DAX Metal Frame, Desktop, Stepped-Edge","11","5","0.16125000000000000000","2.2"
"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins","11","5","0.25283018867924528302","2.2"
"Xerox 206","11","5","0.39148936170212765957","2.2"
"Konftel 250 Conference phone - Charcoal black","9","4","0.14615384615384615385","2.25"
"#6 3/4 Gummed Flap White Envelopes","9","4","0.35000000000000000000","2.25"
"Anker Astro Mini 3000mAh Ultra-Compact Portable Charger","9","4","-0.21621621621621621622","2.25"
"Xerox 194","9","4","0.41500000000000000000","2.25"
"Xerox 196","18","8","0.42625000000000000000","2.25"
"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled","9","4","0.41071428571428571429","2.25"
"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter","9","4","0.33108108108108108108","2.25"
"O'Sullivan 5-Shelf Heavy-Duty Bookcases","9","4","-0.02272727272727272727","2.25"
"Fellowes Neat Ideas Storage Cubes","16","7","-0.03783783783783783784","2.2857142857142856"
"Logitech M510 Wireless Mouse","7","3","0.21833333333333333333","2.3333333333333335"
"Tennsco Commercial Shelving","21","9","-0.12989130434782608696","2.3333333333333335"
"Angle-D Ring Binders","14","6","-0.05000000000000000000","2.3333333333333335"
"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""","7","3","0.10909090909090909091","2.3333333333333335"
"Personal Folder Holder, Ebony","14","6","0.24615384615384615385","2.3333333333333335"
"Xerox 1966","14","6","0.41475409836065573770","2.3333333333333335"
"Space Solutions Industrial Galvanized Steel Shelving.","7","3","-0.03939393939393939394","2.3333333333333335"
"Southworth 25% Cotton Granite Paper & Envelopes","7","3","0.34827586206896551724","2.3333333333333335"
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","14","6","0.21384615384615384615","2.3333333333333335"
"Tops Green Bar Computer Printout Paper","7","3","0.50000000000000000000","2.3333333333333335"
"Shocksock Galaxy S4 Armband","7","3","-0.15862068965517241379","2.3333333333333335"
"Avery 510","7","3","0.37241379310344827586","2.3333333333333335"
"Brites Rubber Bands, 1 1/2 oz. Box","7","3","-0.03939393939393939394","2.3333333333333335"
"Avery 479","7","3","0.40937500000000000000","2.3333333333333335"
"GE 4 Foot Flourescent Tube, 40 Watt","7","3","0.42727272727272727273","2.3333333333333335"
"Global Comet Stacking Armless Chair","14","6","0.14576271186440677966","2.3333333333333335"
"Executive Impressions 12"" Wall Clock","14","6","0.13200000000000000000","2.3333333333333335"
"Dax Clear Box Frame","14","6","0.16000000000000000000","2.3333333333333335"
"Avery 502","7","3","0.35000000000000000000","2.3333333333333335"
"Xerox 1921","7","3","0.31250000000000000000","2.3333333333333335"
"Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright)","7","3","0.45909090909090909091","2.3333333333333335"
"Sanford Prismacolor Professional Thick Lead Art Pencils, 36-Color Set","7","3","0.23750000000000000000","2.3333333333333335"
"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut","7","3","0.22575757575757575758","2.3333333333333335"
"Holmes HEPA Air Purifier","14","6","0.17272727272727272727","2.3333333333333335"
"Acme Kleencut Forged Steel Scissors","7","3","0.20967741935483870968","2.3333333333333335"
"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock","14","6","0.20344827586206896552","2.3333333333333335"
"Global Leather Task Chair, Black","19","8","0.04409937888198757764","2.375"
"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13","12","5","0.44444444444444444444","2.4"
"Wilson Jones data.warehouse D-Ring Binders with DublLock","12","5","0.22962962962962962963","2.4"
"GBC ProClick Spines for 32-Hole Punch","12","5","-0.20000000000000000000","2.4"
"Personal File Boxes with Fold-Down Carry Handle","12","5","0.21052631578947368421","2.4"
"Xerox 1975","12","5","0.43333333333333333333","2.4"
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack","12","5","0.36666666666666666667","2.4"
"iOttie HLCRIO102 Car Mount","12","5","-0.05555555555555555556","2.4"
"SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair","12","5","0.06086956521739130435","2.4"
"Eldon Image Series Black Desk Accessories","12","5","0.34915254237288135593","2.4"
"Acme Elite Stainless Steel Scissors","12","5","0.22105263157894736842","2.4"
"Okidata C331dn Printer","12","5","0.03478260869565217391","2.4"
"Magnifier Swing Arm Lamp","12","5","0.26000000000000000000","2.4"
"Mini 13-1/2 Capacity Data Binder Rack, Pearl","12","5","0.19642857142857142857","2.4"
"Global Task Chair, Black","12","5","-0.17362637362637362637","2.4"
"Xerox 1882","12","5","0.44363636363636363636","2.4"
"Memorex Micro Travel Drive 32 GB","12","5","0.34230769230769230769","2.4"
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages","24","10","0.45840707964601769912","2.4"
"Balt Split Level Computer Training Table","12","5","-0.34400000000000000000","2.4"
"Acme Kleen Earth Office Shears","12","5","0.25263157894736842105","2.4"
"OIC #2 Pencils, Medium Soft","17","7","0.26402439024390243902","2.4285714285714284"
"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags","17","7","0.03230769230769230769","2.4285714285714284"
"Xerox 1999","17","7","0.41842105263157894737","2.4285714285714284"
"Acco Hanging Data Binders","17","7","0.19636363636363636364","2.4285714285714284"
"Executive Impressions 14"" Contract Wall Clock","17","7","0.26987179487179487179","2.4285714285714284"
"Hon 61000 Series Interactive Training Tables","22","9","-0.22721088435374149660","2.4444444444444446"
"Tensor Brushed Steel Torchiere Floor Lamp","10","4","0.04651162790697674419","2.5"
"Lexmark S315 Color Inkjet Printer","5","2","0.11666666666666666667","2.5"
"Southworth Parchment Paper & Envelopes","15","6","0.36718750000000000000","2.5"
"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""","10","4","0.14893617021276595745","2.5"
"Lesro Round Back Collection Coffee Table, End Table","20","8","-0.11538461538461538462","2.5"
"Imation Swivel Flash Drive USB flash drive - 8 GB","5","2","0.32291666666666666667","2.5"
"Kleencut Forged Office Shears by Acme United Corporation","5","2","0.23913043478260869565","2.5"
"Sterling Rubber Bands by Alliance","5","2","-0.19047619047619047619","2.5"
"Stockwell Gold Paper Clips","5","2","0.42045454545454545455","2.5"
"Dell Slim USB Multimedia Keyboard","5","2","0.24000000000000000000","2.5"
"Xerox 1974","10","4","0.46875000000000000000","2.5"
"Panasonic KX MC6040 Color Laser Multifunction Printer","5","2","-0.01388888888888888889","2.5"
"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll","5","2","0.46000000000000000000","2.5"
"Boston 16765 Mini Stand Up Battery Pencil Sharpener","10","4","0.15909090909090909091","2.5"
"OtterBox Defender Series Case - iPhone 5c","5","2","0.02777777777777777778","2.5"
"Okidata C610n Printer","5","2","-0.14516129032258064516","2.5"
"Recycled Interoffice Envelopes with Re-Use-A-Seal Closure, 10 x 13","5","2","0.33750000000000000000","2.5"
"Boston 16750 Black Compact Battery Pencil Sharpener","5","2","0.30000000000000000000","2.5"
"AT&T CL83451 4-Handset Telephone","10","4","0.24468085106382978723","2.5"
"Xerox 1965","10","4","0.45744680851063829787","2.5"
"Xerox 1958","5","2","0.48000000000000000000","2.5"
"Electrix Incandescent Magnifying Lamp, Black","5","2","-0.14062500000000000000","2.5"
"Binney & Smith Crayola Metallic Crayons, 16-Color Pack","5","2","0.41666666666666666667","2.5"
"Executive Impressions 13"" Clairmont Wall Clock","20","8","0.28048780487804878049","2.5"
"Apple EarPods with Remote and Mic","10","4","0.20000000000000000000","2.5"
"APC 7 Outlet Network SurgeArrest Surge Protector","20","8","0.06666666666666666667","2.5"
"Desktop 3-Pocket Hot File","5","2","0.22916666666666666667","2.5"
"Master Caster Door Stop, Gray","10","4","0.29787234042553191489","2.5"
"Grandstream GXP2100 Mainstream Business Phone","10","4","0.07692307692307692308","2.5"
"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders","10","4","0.10169491525423728814","2.5"
"Unpadded Memo Slips","5","2","0.45652173913043478261","2.5"
"Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter","5","2","0.21428571428571428571","2.5"
"Avery 515","5","2","0.47000000000000000000","2.5"
"Logitech B530 USB Headset - headset - Full size, Binaural","25","10","0.08750000000000000000","2.5"
"Acme Serrated Blade Letter Opener","5","2","-0.12500000000000000000","2.5"
"Fellowes Advanced Computer Series Surge Protectors","15","6","0.26027397260273972603","2.5"
"#10 Self-Seal White Envelopes","10","4","0.47959183673469387755","2.5"
"Xerox 1896","5","2","0.45000000000000000000","2.5"
"Bevis Boat-Shaped Conference Table","15","6","-0.17525773195876288660","2.5"
"Newell 308","5","2","0.25000000000000000000","2.5"
"Xerox 1985","5","2","0.35000000000000000000","2.5"
"Xerox 1892","5","2","0.44565217391304347826","2.5"
"Anderson Hickey Conga Table Tops & Accessories","5","2","-0.33823529411764705882","2.5"
"Xerox 1890","5","2","0.50000000000000000000","2.5"
"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black","20","8","0.22580645161290322581","2.5"
"SanDisk Cruzer 4 GB USB Flash Drive","5","2","0.21250000000000000000","2.5"
"Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive","15","6","0.42000000000000000000","2.5"
"Global Enterprise Series Seating High-Back Swivel/Tilt Chairs","10","4","-0.22666666666666666667","2.5"
"14-7/8 x 11 Blue Bar Computer Printout Paper","10","4","0.40909090909090909091","2.5"
"Xerox 188","20","8","0.45744680851063829787","2.5"
"Sauder Facets Collection Library, Sky Alder Finish","10","4","-0.00598802395209580838","2.5"
"Disposable Triple-Filter Dust Bags","10","4","0.26000000000000000000","2.5"
"Maxell 4.7GB DVD-RW 3/Pack","10","4","0.28260869565217391304","2.5"
"Xblue XB-1670-86 X16 Small Office Telephone - Titanium","5","2","0.21875000000000000000","2.5"
"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish","5","2","0.13043478260869565217","2.5"
"LG G3","10","4","0.22826086956521739130","2.5"
"Wirebound Message Forms, Four 2 3/4 x 5 Forms per Page, Pink Paper","5","2","0.39772727272727272727","2.5"
"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page","15","6","0.44791666666666666667","2.5"
"Xerox 1983","5","2","0.49000000000000000000","2.5"
"Loose Memo Sheets","5","2","0.47000000000000000000","2.5"
"Tuff Stuff Recycled Round Ring Binders","23","9","0.29760479041916167665","2.5555555555555554"
"Security-Tint Envelopes","23","9","0.45186915887850467290","2.5555555555555554"
"Crate-A-Files","18","7","0.17777777777777777778","2.5714285714285716"
"Hon 2111 Invitation Series Straight Table","18","7","-0.05652173913043478261","2.5714285714285716"
"Wilson Jones International Size A4 Ring Binders","18","7","0.07326732673267326733","2.5714285714285716"
"AT&T 1080 Corded phone","18","7","0.07464788732394366197","2.5714285714285716"
"Plantronics Encore H101 Dual Earpieces Headset","18","7","0.21927710843373493976","2.5714285714285716"
"Xerox 1911","13","5","0.46349206349206349206","2.6"
"Plantronics CS 50-USB - headset - Convertible, Monaural","13","5","0.12129629629629629630","2.6"
"QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3","13","5","0.37280701754385964912","2.6"
"OIC Binder Clips, Mini, 1/4"" Capacity, Black","13","5","0.45317460317460317460","2.6"
"Anker Astro 15000mAh USB Portable Charger","13","5","-0.04000000000000000000","2.6"
"Safco Industrial Shelving","13","5","-0.12589285714285714286","2.6"
"Avery 490","13","5","0.45833333333333333333","2.6"
"Samsung Galaxy S4","13","5","0.07142857142857142857","2.6"
"Maxell 4.7GB DVD+R 5/Pack","13","5","0.39406779661016949153","2.6"
"Luxo Professional Combination Clamp-On Lamps","13","5","0.26000000000000000000","2.6"
"Lenovo 17-Key USB Numeric Keypad","13","5","0.06111111111111111111","2.6"
"Super Decoflex Portable Personal File","13","5","0.22000000000000000000","2.6"
"Insertable Tab Indexes For Data Binders","13","5","-0.27636363636363636364","2.6"
"iHome FM Clock Radio with Lightning Dock","13","5","0.02500000000000000000","2.6"
"Tennsco 16-Compartment Lockers with Coat Rack","13","5","0.14827586206896551724","2.6"
"Acme Titanium Bonded Scissors","13","5","0.19833333333333333333","2.6"
"UniKeep View Case Binders","13","5","-0.18983050847457627119","2.6"
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","26","10","0.27562189054726368159","2.6"
"Harmony Air Purifier","13","5","0.19223300970873786408","2.6"
"Wirebound Service Call Books, 5 1/2"" x 4""","13","5","0.48000000000000000000","2.6"
"Global Leather & Oak Executive Chair, Burgundy","13","5","-0.06785714285714285714","2.6"
"GBC Standard Plastic Binding Systems Combs","13","5","-0.05238095238095238095","2.6"
"Fellowes Bases and Tops For Staxonsteel/High-Stak Systems","26","10","0.23410852713178294574","2.6"
"Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp","13","5","0.46349206349206349206","2.6"
"Eldon Advantage Chair Mats for Low to Medium Pile Carpets","13","5","0.10000000000000000000","2.6"
"Prestige Round Ring Binders","21","8","0.21063829787234042553","2.625"
"Belkin F8E887 USB Wired Ergonomic Keyboard","21","8","0.11755319148936170213","2.625"
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes","21","8","0.44218750000000000000","2.625"
"Logitech G600 MMO Gaming Mouse","21","8","0.33465346534653465347","2.625"
"Global Low Back Tilter Chair","21","8","-0.14104046242774566474","2.625"
"Assorted Color Push Pins","21","8","0.25947368421052631579","2.625"
"AT&T CL2909","8","3","0.06666666666666666667","2.6666666666666665"
"12 Colored Short Pencils","8","3","0.16571428571428571429","2.6666666666666665"
"Avery Printable Repositionable Plastic Tabs","16","6","0.36716417910447761194","2.6666666666666665"
"Executive Impressions 14"" Two-Color Numerals Wall Clock","16","6","0.30588235294117647059","2.6666666666666665"
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case","16","6","0.40540540540540540541","2.6666666666666665"
"Binder Posts","16","6","0.13600000000000000000","2.6666666666666665"
"Avery 486","24","9","0.44695652173913043478","2.6666666666666665"
"Plantronics Voyager Pro Legend","8","3","0.12727272727272727273","2.6666666666666665"
"Aastra 6757i CT Wireless VoIP phone","16","6","0.16470588235294117647","2.6666666666666665"
"Hewlett Packard 310 Color Digital Copier","16","6","0.20000000000000000000","2.6666666666666665"
"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages","8","3","0.40000000000000000000","2.6666666666666665"
"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box","8","3","0.32571428571428571429","2.6666666666666665"
"Hand-Finished Solid Wood Document Frame","8","3","0.26315789473684210526","2.6666666666666665"
"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets","8","3","0.23287671232876712329","2.6666666666666665"
"Xerox 1944","16","6","0.44864864864864864865","2.6666666666666665"
"Wilson Jones Suede Grain Vinyl Binders","8","3","0.30847457627118644068","2.6666666666666665"
"Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S","8","3","0.20000000000000000000","2.6666666666666665"
"Panasonic KX T7731-B Digital phone","8","3","0.11515151515151515152","2.6666666666666665"
"Geographics Note Cards, Blank, White, 8 1/2"" x 11""","8","3","0.38823529411764705882","2.6666666666666665"
"Boston 1730 StandUp Electric Pencil Sharpener","8","3","0.26000000000000000000","2.6666666666666665"
"Dixon Ticonderoga Maple Cedar Pencil, #2","8","3","0.21052631578947368421","2.6666666666666665"
"Tensor ""Hersey Kiss"" Styled Floor Lamp","8","3","0.02222222222222222222","2.6666666666666665"
"AT&T SB67148 SynJ","8","3","0.18888888888888888889","2.6666666666666665"
"""While you Were Out"" Message Book, One Form per Page","8","3","0.41176470588235294118","2.6666666666666665"
"SKILCRAFT Telephone Shoulder Rest, 2"" x 6.5"" x 2.5"", Black","8","3","0.23157894736842105263","2.6666666666666665"
"Hoover Shoulder Vac Commercial Portable Vacuum","16","6","0.14285714285714285714","2.6666666666666665"
"G.E. Longer-Life Indoor Recessed Floodlight Bulbs","16","6","0.31803278688524590164","2.6666666666666665"
"Advantus Rolling Storage Box","27","10","0.21160000000000000000","2.7"
"Brother DCP1000 Digital 3 in 1 Multifunction Machine","19","7","0.23765432098765432099","2.7142857142857144"
"Stanley Bostitch Contemporary Electric Pencil Sharpeners","19","7","0.15555555555555555556","2.7142857142857144"
"Sauder Camden County Collection Libraries, Planked Cherry Finish","19","7","-0.04093919325707405178","2.7142857142857144"
"Global Deluxe Stacking Chair, Gray","19","7","0.10066666666666666667","2.7142857142857144"
"Office Star - Ergonomically Designed Knee Chair","19","7","-0.03209876543209876543","2.7142857142857144"
"Eldon Expressions Wood Desk Accessories, Oak","33","12","0.05524193548387096774","2.75"
"Carina 42""Hx23 3/4""W Media Storage Unit","22","8","-0.06732673267326732673","2.75"
"Acco Expandable Hanging Binders","11","4","0.02622950819672131148","2.75"
"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book","11","4","0.32500000000000000000","2.75"
"Newell 330","11","4","0.18600000000000000000","2.75"
"Self-Adhesive Ring Binder Labels","11","4","0.10307692307692307692","2.75"
"Quality Park Security Envelopes","11","4","0.36630434782608695652","2.75"
"Rogers Deluxe File Chest","22","8","-0.07821782178217821782","2.75"
"Seth Thomas 8 1/2"" Cubicle Clock","11","4","0.28076923076923076923","2.75"
"Balt Solid Wood Rectangular Table","11","4","-0.26114649681528662420","2.75"
"#10 Gummed Flap White Envelopes, 100/Box","11","4","0.40600000000000000000","2.75"
"Cisco Small Business SPA 502G VoIP phone","11","4","0.06627906976744186047","2.75"
"Tenex Chairmats For Use With Carpeted Floors","11","4","0.05000000000000000000","2.75"
"SpineVue Locking Slant-D Ring Binders by Cardinal","22","8","0.05454545454545454545","2.75"
"Xerox 1912","11","4","0.46037735849056603774","2.75"
"Xerox 227","22","8","0.38494623655913978495","2.75"
"Apple iPhone 5S","11","4","0.10465116279069767442","2.75"
"Canon PC1080F Personal Copier","11","4","0.32900000000000000000","2.75"
"Avery 501","22","8","0.35222222222222222222","2.75"
"Logitech G700s Rechargeable Gaming Mouse","25","9","0.38034188034188034188","2.7777777777777777"
"Xerox 2","25","9","0.38679245283018867925","2.7777777777777777"
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack","14","5","0.27846153846153846154","2.8"
"Xerox 1899","14","5","0.40500000000000000000","2.8"
"Tyvek Side-Opening Peel & Seel Expanding Envelopes","14","5","0.45000000000000000000","2.8"
"O'Sullivan Living Dimensions 2-Shelf Bookcases","28","10","-0.02647657841140529532","2.8"
"Xerox 1910","14","5","0.40327868852459016393","2.8"
"Xerox 231","14","5","0.40327868852459016393","2.8"
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h","28","10","-0.07520000000000000000","2.8"
"AmazonBasics 3-Button USB Wired Mouse","14","5","0.36666666666666666667","2.8"
"Xerox 2000","14","5","0.44000000000000000000","2.8"
"Sauder Inglewood Library Bookcases","14","5","0.14444444444444444444","2.8"
"Memorex Froggy Flash Drive 4 GB","14","5","0.31129032258064516129","2.8"
"50 Colored Long Pencils","14","5","0.23823529411764705882","2.8"
"Deluxe Rollaway Locking File with Drawer","14","5","0.24776119402985074627","2.8"
